Resume_Text,Job_Fit
"Experienced data scientist skilled in Python, ML, and SQL.",Data Science
"Frontend developer with React, HTML, CSS, and design experience.",Frontend
"Data analyst proficient in Power BI, Tableau, and Excel.",Data Analyst
"Backend engineer experienced in Java, Spring Boot, and REST APIs.",Backend
Business analyst with strong domain knowledge and communication skills.,Business Analyst
"Python developer with exposure to Flask, APIs, and PostgreSQL.",Backend
"Software tester familiar with Selenium, JUnit, and agile processes.",QA
"ML engineer with TensorFlow, scikit-learn, and cloud deployment.",ML Engineer
Technical writer with background in software documentation.,Content
"DevOps engineer skilled in Docker, Kubernetes, and CI/CD pipelines.",DevOps
